"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"LBXF08","1,2,3,4,6,7,8-hpcdf (fg/g)","BMXBMI",0.0437781039105549,0.0158169078665567,0.0115313844055805,0.0285623521430532
"LBXF09","1,2,3,4,7,8,9-hpcdf (fg/g)","BMXBMI",0.0694446668522947,0.0276676175308301,0.0403991675160752,0.0848135542763713
"LBXF10","1,2,3,4,6,7,8,9-ocdf (fg/g)","BMXBMI",0.062261012963602,0.0197997782494801,0.00489342502356303,0.0157291130553054
"LBXPCB","3,3,4,4,5-pncb (fg/g)","BMXBMI",0.159183620948834,0.0237226382515076,1.22066240282823e-06,1.19086291204559e-05
"LBXTC2","3,4,4,5-tcb (fg/g)","BMXBMI",-0.0191447359719606,0.019703830774803,0.342296346671179,0.45848056582012
"LBXHXC","3,3,4,4,5,5-hxcb (fg/g)","BMXBMI",-0.212670691320616,0.0317483801054236,1.25178942885167e-06,1.19086291204559e-05
"LBXTCD","2,3,7,8-tcdd (fg/g)","BMXBMI",0.0192613359856152,0.0242160441916098,0.4352821295839,0.560643382904064
"LBX052","PCB52 (ng/g)","BMXBMI",0.0798775459651192,0.0193516584976045,0.000478813748193768,0.0020506131920125
"LBX087","PCB87 (ng/g)","BMXBMI",0.00759073007884347,0.0159308778698086,0.648247131788865,0.764363824985115
"LBX099","PCB99 (ng/g)","BMXBMI",0.0762752466628945,0.0206912543412223,0.00137185424955169,0.00525877462328148
"LBX101","PCB101 (ng/g)","BMXBMI",0.0167238833752841,0.0277778202194224,0.553580465976571,0.680354618490289
"LBX110","PCB110 (ng/g)","BMXBMI",0.0161018361611569,0.0181228440393237,0.403776776822073,0.526276186483056
"LBX128","PCB128 (ng/g)","BMXBMI",0.0584777880582623,0.028489183853085,0.0527788225536496,0.103626712574849
"LBX138","PCB138 & 158 (ng/g)","BMXBMI",0.0245334724487706,0.0253475435458825,0.344118260972453,0.45848056582012
"LBX146","PCB146 (ng/g)","BMXBMI",-0.081416565799963,0.0238433365562264,0.00260683588694324,0.00946085446983791
"LBX149","PCB149 (ng/g)","BMXBMI",0.0227003741428471,0.0170756792159678,0.225403862515009,0.326937133918167
"LBX151","PCB151 (ng/g)","BMXBMI",0.0287402876687983,0.01735030548714,0.141596044613119,0.237468366486584
"LBX153","PCB153 (ng/g)","BMXBMI",-0.0768437655042724,0.0308331258638849,0.0211290340472842,0.0472468678001771
"LBX170","PCB170 (ng/g)","BMXBMI",-0.15923992060078,0.0278815515090877,1.14177852868242e-05,7.07024396607192e-05
"LBX172","PCB172 (ng/g)","BMXBMI",-0.0294814640650181,0.0191460780323909,0.13853855178308,0.234786387758694
"LBX177","PCB177 (ng/g)","BMXBMI",-0.0125744300558011,0.02358751613191,0.599563532577099,0.730238278622957
"LBX178","PCB178 (ng/g)","BMXBMI",-0.0743405211040639,0.0229997724375381,0.00399312504219621,0.0133936069123665
"LBX180","PCB180 (ng/g)","BMXBMI",-0.205740317660241,0.031380962192341,1.70916625327268e-06,1.51946195560207e-05
"LBX183","PCB183 (ng/g)","BMXBMI",-0.02110182881985,0.0208328868310357,0.322632450819632,0.443964312666332
"LBX187","PCB187 (ng/g)","BMXBMI",-0.110690406282415,0.0278572687487866,0.000692200472796343,0.00271815307610271
"LBX194","PCB194 (ng/g)","BMXBMI",-0.369202196178908,0.0483053243937089,0.000121842251202902,0.0006130188263646
"LBX195","PCB195 (ng/g)","BMXBMI",0.0116475194895656,0.017100876274498,0.517693985865509,0.65628922617596
"LBX196","PCB196 & 203 (ng/g)","BMXBMI",-0.2596037284927,0.0385985043518956,0.000270959359388495,0.00124641305318708
"LBD199","PCB199 (ng/g)","BMXBMI",-0.331652594465357,0.0496397512089551,0.000282281608511537,0.00126242608250993
"LBX206","PCB206 (ng/g)","BMXBMI",-0.154316634812534,0.0206386359678586,0.000139980962419228,0.000682937422711989
"LBXHCB","Hexachlorobenzene (ng/g)","BMXBMI",0.00731059962780506,0.0298922711709818,0.809167138348308,0.886230675333861
"LBXBHC","Beta-hexachlorocyclohexane (ng/g)","BMXBMI",0.144639110604151,0.0274090201742641,3.12502560235863e-05,0.000186344119251755
"LBXGHC","Gamma-hexachlorocyclohexane (ng/g)","BMXBMI",0.0403671362102445,0.0307637914737849,0.203627548138303,0.303555881946914
"LBXPDE","p,p-DDE (ng/g)","BMXBMI",0.0552415126903764,0.0292632522356401,0.072957625210518,0.133463101716217
"LBXPDT","p,p-DDT (ng/g)","BMXBMI",0.0880891880240525,0.0213643629127198,0.000483995660226552,0.0020506131920125
"LBXODT","o,p-DDT (ng/g)","BMXBMI",0.0788295327694532,0.0275562084473171,0.00936078545715355,0.025118107643362
"LBXOXY","Oxychlordane (ng/g)","BMXBMI",0.061130242066093,0.0308550999195074,0.0608136227188276,0.115188155973309
"LBXTNA","Trans-nonachlor (ng/g)","BMXBMI",0.0595575845486269,0.0277243457013715,0.0435191584306703,0.0898280065043323
"LBXHPE","Heptachlor Epoxide (ng/g)","BMXBMI",0.268898102984099,0.0285217885669311,5.38096970131555e-09,1.73267224382361e-07
"LBXMIR","Mirex (ng/g)","BMXBMI",-0.0427610203029183,0.0200368358364905,0.0447844331419422,0.0901286716981587
"LBXALD","Aldrin (ng/g)","BMXBMI",0.0218045518203853,0.0146699564414517,0.180778537636138,0.274578722258662
"LBXDIE","Dieldrin (ng/g)","BMXBMI",0.322274112647303,0.0377326631217224,5.98825528556384e-05,0.000332451414129579
