"","Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"21","URXUHG","Mercury, urine (ng/mL)","LBXGLU",-0.132594946028439,0.0491909018843513,0.0117528545732876,0.0331966594087598
"22","URXUIO","Iodine, urine (ng/mL)","LBXGLU",0.220662584066433,0.104240436499315,0.0526624775951832,0.122879114388761
"23","LBXVID","Vitamin D (ng/mL)","LBXGLU",-0.585674748774519,0.155020977221254,0.00203730501065602,0.00683346055657541
"24","LBXPFOA","Perfluorooctanoic acid","LBXGLU",-0.244658202056793,0.251356856740119,0.348143455882596,0.535066432904549
"25","LBXPFOS","Perfluorooctane sulfonic acid","LBXGLU",0.155027544673216,0.192716897364061,0.435612674074819,0.615414144712247
"26","LBXPFHS","Perfluorohexane sulfonic acid","LBXGLU",-0.0750393697327485,0.105256341988651,0.48849538631739,0.664975002881012
"27","LBXEPAH","2-(N-ethyl-PFOSA) acetate","LBXGLU",0.0740910995196451,0.171714957168416,0.673190661489379,0.833720742306077
"28","LBXMPAH","2-(N-methyl-PFOSA) acetate","LBXGLU",-0.0900172933618662,0.170504017841395,0.606430032046425,0.784480291963876
"29","LBXPFDE","Perfluorodecanoic acid","LBXGLU",-0.023362011104704,0.229684342157673,0.920536149692585,0.954181953390307
"30","LBXPFHP","Perfluoroheptanoic acid","LBXGLU",-0.434069057046247,0.178923569493604,0.0305592031415843,0.076875495403048
"31","LBXPFNA","Perfluorononanoic acid","LBXGLU",0.192628599827799,0.139842019921749,0.191619540211049,0.362949952635046
"32","LBXPFSA","Perfluorooctane sulfonamide","LBXGLU",-0.033261692923496,0.111286144380359,0.769752564057043,0.904599728563387
"33","LBXPFUA","Perfluoroundecanoic acid","LBXGLU",0.14035064244668,0.267495585726798,0.608634398077454,0.784480291963876
"34","LBXPFDO","Perfluorododecanoic acid","LBXGLU",-1.54309441422369,0.482834914397007,0.00702273900172429,0.0213332260241059
"35","URXMBP","Mono-n-butyl phthalate","LBXGLU",0.006013465316464,0.053570203490605,0.911422981623566,0.954181953390307
"36","URXMCP","Mono-cyclohexyl phthalate","LBXGLU",-0.0476282271945738,0.0936294895609419,0.614955765773476,0.785776811821663
"37","URXMEP","Mono-ethyl phthalate","LBXGLU",0.0217348985618631,0.0605492298532646,0.722315949621254,0.864932430378444
"38","URXMHP","Mono-(2-ethyl)-hexyl phthalate","LBXGLU",0.00916655451758274,0.0439011867894708,0.836116181021074,0.928377276857882
"39","URXMNP","Mono-isononyl phthalate","LBXGLU",-0.155003338220996,0.0802597086401851,0.0636297745455289,0.1443594676026
"40","URXMOP","Mono-n-octyl phthalate","LBXGLU",-0.166398854392545,0.140955829027014,0.247731646672279,0.425380333028759
"41","URXMZP","Mono-benzyl phthalate","LBXGLU",-0.0751400729459321,0.0468253048816261,0.119783691589269,0.247245824947081
"42","URXMNM","Mono-n-methyl phthalate","LBXGLU",-0.0427377264877022,0.0603227556179046,0.490273953025842,0.664975002881012
"43","URXMC1","Mono-(3-carboxypropyl) phthalate","LBXGLU",0.00895164273045087,0.0523373807707108,0.866641851193973,0.941410980642319
"44","URXMHH","Mono-(2-ethyl-5-hydroxyhexyl) phthalate","LBXGLU",0.0181356482793816,0.0529350362431733,0.736987322894861,0.872462933721122
"45","URXMOH","Mono-(2-ethyl-5-oxohexl) phthalate","LBXGLU",0.0158557512836166,0.0567690658901552,0.784096289152333,0.906966708057679
"46","URXMIB","Mono-isobutyl phthalate","LBXGLU",-0.123114856131301,0.0853762643857171,0.171290646313254,0.328307072100403
"47","LBX028","PCB28 (ng/g)","LBXGLU",0.612490336095432,0.387481720377682,0.137962793029029,0.274222341699675
"48","LBX066","PCB66 (ng/g)","LBXGLU",1.07436456534597,0.380865236021175,0.00870594468175504,0.0250295909600458
"49","LBX074","PCB74 (ng/g)","LBXGLU",0.702422411787314,0.101952870038516,1.73199040571347e-07,1.39425227659935e-06
"50","LBX105","PCB105 (ng/g)","LBXGLU",0.850317627344327,0.172574761100402,3.38380879146115e-05,0.000165088853159165
"51","LBX118","PCB118 (ng/g)","LBXGLU",0.702906754765455,0.0858813253196846,6.5658941409389e-09,7.55077826207973e-08
"52","LBX156","PCB156 (ng/g)","LBXGLU",0.785933562031469,0.100079902157293,1.48774189125937e-08,1.40897908525152e-07
"53","LBX157","PCB157 (ng/g)","LBXGLU",0.940279513894298,0.198298777429832,5.61868806908893e-05,0.000258459651178091
"54","LBX167","PCB167 (ng/g)","LBXGLU",1.11544722195471,0.20966619014686,1.15659536870218e-05,6.65042337003754e-05
"55","LBX189","PCB189 (ng/g)","LBXGLU",1.97571034245697,1.80899172475256,0.293200981258159,0.472053579825636
"56","LBXD01","1,2,3,7,8-pncdd (fg/g)","LBXGLU",0.374455763229668,0.0969190641231049,0.000605041762600805,0.00226538892508673
"57","LBXD02","1,2,3,4,7,8-hxcdd (fg/g)","LBXGLU",0.552570005318098,0.141942768871036,0.00162427513728706,0.00581129549118258
"58","LBXD03","1,2,3,6,7,8-hxcdd (fg/g)","LBXGLU",0.337364679947873,0.0688664871557182,3.65724775367237e-05,0.000173181437747427
"59","LBXD04","1,2,3,7,8,9-hxcdd (fg/g)","LBXGLU",0.610187625846004,0.132972778634084,8.52958513453962e-05,0.000352118770938687
"60","LBXD05","1,2,3,4,6,7,8-hpcdd (fg/g)","LBXGLU",0.578060235401008,0.110126701354584,1.40416559915147e-05,7.79554005046164e-05
"61","LBXD07","1,2,3,4,6,7,8,9-ocdd (fg/g)","LBXGLU",0.512458521297203,0.102392472271115,2.73683815398068e-05,0.000142139013803513
"62","LBXF01","2,3,7,8-tcdf (fg/g)","LBXGLU",-0.0326758921812943,0.172450440754851,0.851083588548743,0.932139168410529
"63","LBXF02","1,2,3,7,8-pncdf (fg/g)","LBXGLU",0.0502392091265491,0.184087384046288,0.786925489354611,0.906966708057679
"64","LBXF03","2,3,4,7,8-pncdf (fg/g)","LBXGLU",0.605498111329811,0.0716391260838899,3.43009974372065e-09,4.24804660568481e-08
"65","LBXF04","1,2,3,4,7,8-hxcdf (fg/g)","LBXGLU",0.810669056039819,0.138883696683746,2.83980180858132e-06,1.75849265839074e-05
"66","LBXF05","1,2,3,6,7,8-hxcdf (fg/g)","LBXGLU",0.708280667910457,0.120341888030722,2.49097597067355e-06,1.60418852511377e-05
